ID,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
TRAIN_0000,0.9597009633186968,-1.0253207111371123,1.069703035954247,0.9433176178948284,-0.5812584472181865,-1.5451377919344187,0.5791503006303608,-0.0561302107350335,0.5864599226258194,0.4283807265377044,-0.0607923116947548,88.64226
TRAIN_0001,0.9435385565600092,-1.119454874833527,1.0592595449393,0.935066820325486,-0.5723808032792153,-1.545634584362213,0.5770229428477888,-0.0567688349757925,0.5881015341570398,0.4256904080970746,-0.056885270929268,89.89179
TRAIN_0002,0.9753320232515974,-1.1475898484466764,1.068266345890535,0.952149826401649,-0.5678322683625175,-1.5493242445046858,0.5747259891017793,-0.0638234236300073,0.5870300643731174,0.4227624054985381,-0.0561448465236679,89.50822
TRAIN_0003,0.9232101711259512,-0.9941551204094996,1.0772897359751763,0.9139378019840022,-0.5493365915478277,-1.5540246455428144,0.577173617982663,-0.0618829821992295,0.587489157449164,0.4186263928060178,-0.0515246389157806,91.28968599999999
TRAIN_0004,0.9101383411955558,-1.1616186958129828,1.0789704987322224,0.948793693085964,-0.5395608279915122,-1.5544993534469722,0.576207390773015,-0.0616873994824276,0.5840687685657427,0.4224919238655589,-0.0487598614629052,88.21288
TRAIN_0005,0.9237041183205584,-1.0681615156302826,1.0930528493542302,0.9300691123180256,-0.5349437886462008,-1.566088419132794,0.5700073520300389,-0.0590123820890136,0.5833732940034957,0.4179081926946537,-0.0475551011003485,91.28305
TRAIN_0006,0.933797377456915,-1.0450105660375086,1.1024111293615484,0.9530438440175176,-0.5390124954294551,-1.5638417077537818,0.562974676739291,-0.0645786524958442,0.584020460465852,0.4141429356597719,-0.0427291545013644,91.69374400000001
TRAIN_0007,0.9732968371976788,-1.0362360412644742,1.096751334998879,0.944348418472956,-0.5254487449770202,-1.5703195729545911,0.5633528334179937,-0.0665344169186193,0.5850224561362167,0.4163376677344346,-0.0435218430883232,90.08038400000001
TRAIN_0008,0.9585920607207165,-1.171350414706642,1.0962049187365994,0.9161220221710764,-0.5131155937498294,-1.5738786769821638,0.565047676163403,-0.0653810473223024,0.5813692997228741,0.4159207346243244,-0.0406673015009581,91.579474
TRAIN_0009,0.9631854224073284,-1.1909829153121985,1.1119279897507477,0.9413551547392476,-0.5161859898509392,-1.5759387849172293,0.5622149737307933,-0.068994394752876,0.5803211142224901,0.4161716678785086,-0.0388218957062735,90.97689199999999
TRAIN_0010,0.9234392924690488,-1.1440796550353134,1.100693565245596,0.9149853737074636,-0.5107450307151963,-1.5764519116403446,0.5576745073233816,-0.0673277731121609,0.5842708036191488,0.415998973815707,-0.037644503048642,91.937226
TRAIN_0011,0.9567522613745498,-1.0721452411705037,1.1102584120525285,0.9171769718065016,-0.5179981079322112,-1.5718852294139258,0.5578130722658448,-0.0608161732291884,0.5834086281832767,0.4123943905884052,-0.0376785066407757,90.424914
